itemId,name,description,price
266732,"Textured 1/4-Zip Pullover","Moisture-wicking, textured, 6.2 oz., 100% polyester. Cadet collar. Quarter-zip front with contrasting zipper teeth and tape. Sport-Tek logo neck taping. Set-in sleeves. Open cuffs and bottom hem. Import. Embroidery. Deep Red.",27.2
266654,"Webcam cover","Durable plastic slider attaches to computers, laptops, smart TVs, game consoles and third party webcams with double-sided tape. Protects against accidentally sharing web meetings; protects lens from scratches. Import. Imprint. Black.",3.45
231210,"Hooded Pullover Sweatshirt Red Hat","Moisture-wicking 100% polyester sports fleece with piping and tonal accents. Drawstring hood; raglan sleeves with piping detail on seams; front pouch pocket; reinforced rib-knit cuffs and waistband. Sublimated imprint. Black.",41.8
172731,"Red Gat Cap","Unstructured, laundered; six sewn eyelets; precurved sandwich visor; fabric strap with slide buckle. Import. Embroidery. Red/Black",3.6
231213,"Reversible Beanie","	Knit acrylic yarn in stripe design on one side and solid on other. Import. Woven label is visible from both sides. Black/Gray/Red. One size fits most.",4.75
214235,"Fedora Unstructured Cap","Bio-washed cotton twill. Fabric strap with tri-glide buckle closure. Low profile, unstructured. Import. Embroidery. Black.",5.1
266652,"OGIO Endurance Mesh Cap","Breathable, moisture-wicking, lightweight, 100% polyester closed-hole mesh. Terry sweatband. Webbing sizing strap with buckle closure. Low profile, five panels, unstructured. Black underbill to prevent glare. Reflective OGIO® branding on side panel. Import. Transfer. Black.",8.1
274690,"Nike Golf Dri-Fit Mesh Cap","Moisture-wicking, flexible, 100% polyester Dri-FIT knit mesh. Contrasting sandwich visor. Nike Swoosh embroidery on visor and back (matches sandwich trim). Mid profile, structured. Import. Embroidery. White/Black",18.05
266723,"Ladies' Est 1993 T-Shirt","	Fabric-laundered, 4.3 oz., CVC 60% combed, ringspun cotton/40% polyester jersey in 32 singles. Set-in, baby rib-knit crewneck collar. Import. Screen Print. Red.",9.8
266722,"Ladies RH Lives Here T-Shirt","Fabric-laundered, 4.3 oz., CVC 60% combed, ringspun cotton/40% polyester jersey in 32 singles. Set-in, baby rib-knit crewneck collar. Import. Screen Print. Charcoal.",10.25
220334,"Ladies Fedora Ringer T-Shirt","Preshrunk, combed, ringspun, 4.2 oz., 50% cotton/50% polyester in soft baby jersey knit. Complementary color 34' collar and cuffs; side seamed. Flattering contour fit. Import. Imprint. Heather Blue/Navy.",10.45
263149,"Ladies' Shadowman T-Shirt Red Hat","Preshrunk, 4.2 oz., combed ringspun 30 singles cotton in jersey knit. Cover stitched rib-knit V-neck trim with set-in sleeves. True missy fit. Screen Print. Black.",11.4
266740,"Ladies' Eco Jersey Pullover","Low impact, yarn-dyed and garment-washed, 4.1 oz., 50% polyester/38% cotton/12% rayon (6.25% is recycled polyester, 6.25% is organic cotton) in 20 singles. Scoop neck. Raglan sleeves. Import. Transfer. Eco True Red.",22.65
186539,"OGIO Jewel Polo (Ladies) Red Hat","Moisture-wicking 100% polyester. Rib-knit collar and cuffs; OGIO jacquard tape inside neck; bar-tacked three-button placket with OGIO dyed-to-match buttons; side vents; tagless; OGIO badge on left sleeve. Import. Embroidery. Signal Red.",28.45
266656,"OGIO Ladies Onyx Polo Red Hat","Moisture-wicking, 5 oz., 53% cotton/47% polyester piqué. Self-fabric collar. Three-button Y-collar with coverstitch detailing and metal buttons. Modified raglan sleeves. Curved hem. Tonal stitch throughout. Front princess seams. OGIO® badge at hem. Import.",29.95
193376,"OGIO Jewel Polo (Ladies) Storage","Moisture-wicking 100% polyester. Rib-knit collar and cuffs; OGIO jacquard tape inside neck; bar-tacked three-button placket with OGIO dyed-to-match buttons; side vents; tagless; OGIO badge on left sleeve. Import. Embroidery. Blacktop.",31.35
193378,"OGIO Jewel Polo (Ladies) Middleware","Moisture-wicking 100% polyester. Rib-knit collar and cuffs; OGIO jacquard tape inside neck; bar-tacked three-button placket with OGIO dyed-to-match buttons; side vents; tagless; OGIO badge on left sleeve. Import. Embroidery. Blacktop.",31.35
